disease_id,gene_id
DOID:0050156,1832
DOID:0050156,2335
DOID:0050156,2355
DOID:0050156,4088
DOID:0050156,5328
DOID:0050156,6440
DOID:0050156,6441
DOID:0050156,7015
DOID:0050156,7040
DOID:0050156,10144
DOID:0050156,23250
DOID:0050156,54472
DOID:0050156,79991
DOID:0050156,91039
DOID:0050156,255520
DOID:0050156,653509
DOID:0050156,727897
DOID:0050156,729238
DOID:0050425,1775
DOID:0050425,4211
DOID:0050425,5348
DOID:0050425,5443
DOID:0050425,5607
DOID:0050425,5789
DOID:0050425,7018
DOID:0050425,27324
DOID:0050425,51072
DOID:0050425,94033
DOID:0050425,114781
DOID:0050425,348654
DOID:0050741,124
DOID:0050741,125
DOID:0050741,127
DOID:0050741,130
DOID:0050741,131
DOID:0050741,217
DOID:0050741,218
DOID:0050741,224
DOID:0050741,551
DOID:0050741,1129
DOID:0050741,1268
DOID:0050741,1392
DOID:0050741,1394
DOID:0050741,1571
DOID:0050741,1813
DOID:0050741,1815
DOID:0050741,2033
DOID:0050741,2555
DOID:0050741,2560
DOID:0050741,2565
DOID:0050741,2678
DOID:0050741,2805
DOID:0050741,2806
DOID:0050741,2904
DOID:0050741,3351
DOID:0050741,3356
DOID:0050741,3363
DOID:0050741,3763
DOID:0050741,4128
DOID:0050741,4129
DOID:0050741,4852
DOID:0050741,4985
DOID:0050741,4986
DOID:0050741,4988
DOID:0050741,5173
DOID:0050741,5443
DOID:0050741,6531
DOID:0050741,6532
DOID:0050741,8777
DOID:0050741,8936
DOID:0050741,10163
DOID:0050741,27340
DOID:0050741,51324
DOID:0050741,54622
DOID:0050741,55749
DOID:0050741,55825
DOID:0050741,255239
DOID:0050741,347735
DOID:0050741,728441
DOID:0050742,1136
DOID:0050742,1137
DOID:0050742,1138
DOID:0050742,1141
DOID:0050742,1142
DOID:0050742,1143
DOID:0050742,1549
DOID:0050742,1813
DOID:0050742,2245
DOID:0050742,2557
DOID:0050742,4988
DOID:0050742,8936
DOID:0050742,8973
DOID:0050742,10163
DOID:0050742,50833
DOID:0050742,55749
DOID:0050742,57016
DOID:0050742,57053
DOID:0050742,255239
DOID:0060073,238
DOID:0060073,604
DOID:0060073,943
DOID:0060073,3189
DOID:0060073,4869
DOID:0060073,5629
DOID:0060073,7072
DOID:0060073,23378
DOID:0060073,201161
DOID:0060119,125
DOID:0060119,131
DOID:0060119,595
DOID:0060119,923
DOID:0060119,973
DOID:0060119,999
DOID:0060119,1956
DOID:0060119,4317
DOID:0060119,7157
DOID:0060119,9260
DOID:0060119,9334
DOID:0060119,25790
DOID:0060119,27102
DOID:0060119,51297
DOID:0060119,51754
DOID:0060119,55748
DOID:10021,2520
DOID:10021,4221
DOID:10021,6343
DOID:10021,6750
DOID:1024,920
DOID:1024,925
DOID:1024,959
DOID:1024,1540
DOID:1024,3123
DOID:1024,3458
DOID:1024,3558
DOID:1024,3586
DOID:1024,4049
DOID:1024,4298
