lfs_17,lfs_26_50k,lfs_26_250k
0.6937348973020468,0.984305219253171,0.9842286063294307
0.023845445827986016,0.6770711009311595,0.681112358803216
0.06116167417591752,0.7139674944051938,0.7170024094602058
0.033636202081945184,0.0907066331314089,0.08872977105609385
0.037056991111822105,0.03948686490621658,0.03911262282985354
0.3796469978707505,0.5559372365561583,0.5473008063500555
0.14632663302415555,0.9394468509135054,0.9403375663804628
0.1292669924470809,0.30660614562754324,0.29822792588902325
0.16463717319958887,0.1386106059513147,0.1350367128649461
0.17891411665695478,0.14450364504658136,0.14233197646976914
0.1917693193495381,0.7367138881363929,0.7391424938046328
0.20564200910840053,0.7016621049692288,0.6958064018502641
0.023845445827986016,0.088807639718687,0.08723529573492676
0.020146902524923918,0.016900536520618507,0.01664043193831219
0.07525303794117047,0.06741285467241978,0.06555276897916017
0.407709493166868,0.7630171872028475,0.7555156842451605
0.3796469978707505,0.7300886507383567,0.7235697955972623
0.3426458523208706,0.3228423122831888,0.3140296180635203
0.16463717319958887,0.14195200180537798,0.13889830931010988
0.1640827215089258,0.4883872967557956,0.4784104621301569
0.5732836366278361,0.9631878615612621,0.9633027474491032
0.16463717319958887,0.4826133267721004,0.47424915949104857
0.17832184785406938,0.49358404890443935,0.4855049956895545
0.015312594666520156,0.019346954925063158,0.018930022631307757
0.06116167417591752,0.19260494104676956,0.18976828120223865
0.033636202081945184,0.03870570744295735,0.03805855915368885
0.4740711734058389,0.12766274811750472,0.12267730462039605
0.4178625971096133,0.9162578570022177,0.9160568286569578
0.2655221693655677,0.3366321045910257,0.3300706322544879
0.1866461079596483,0.7212758579450902,0.7117914132976335
0.1618840147794529,0.3256635538931738,0.31760488774418244
0.4494355127149584,0.16105898562120985,0.15732421337734293
0.2999470630915948,0.8603775956580146,0.8547899550829946
0.20498335019788572,0.3101756328442982,0.30386466103683973
0.2181289189801803,0.15487310402900986,0.1523765434446021
0.327181447049728,0.8780678164720478,0.8721879595243859
0.5439279210932461,0.9742714973330119,0.9730316186475243
