predicted	actual	model_calibration
0.06262161328125003	0.0	before
0.14800846459523814	0.047619047619047616	before
0.2481972199999999	0.1111111111111111	before
0.35478984388888885	0.05555555555555555	before
0.4524254865217391	0.043478260869565216	before
0.5617213493333334	0.13333333333333333	before
0.6510322115999999	0.32	before
0.7511375022222221	0.4444444444444444	before
0.8540018323333335	0.4	before
0.9621550711764704	0.6235294117647059	before
0.092730455	0.0	after
0.16462167673611117	0.0	after
0.24736981431818172	0.03409090909090909	after
0.3416153426562502	0.09375	after
0.4470161561999999	0.04	after
0.5586530666666667	0.18181818181818182	after
0.648996893	0.43333333333333335	after
0.7529493920588234	0.5	after
0.8473272426666665	0.5333333333333333	after
0.9339274312903226	0.7419354838709677	after
