predicted	actual	model_calibration
0.058059206896174866	0.04918032786885246	before
0.13670923138834953	0.07766990291262135	before
0.24502016312499997	0.08333333333333333	before
0.3493425865384615	0.07692307692307693	before
0.45660137538461537	0.15384615384615385	before
0.5499974257142856	0.0	before
0.6545365753846153	0.07692307692307693	before
0.7663248738461538	0.38461538461538464	before
0.8371720984615384	0.23076923076923078	before
0.90291476	1.0	before
0.04908180713839661	0.05907172995780591	after
0.14572485988571426	0.07142857142857142	after
0.2476558686111111	0.08333333333333333	after
0.3535532647368421	0.10526315789473684	after
0.4605961963636364	0.09090909090909091	after
0.5579826835714286	0.0	after
0.6546390124999999	0.125	after
0.7446050318181818	0.18181818181818182	after
0.842685598235294	0.29411764705882354	after
0.9169366750000001	0.5	after
