disease_associates,gene_associates,prior_perm,prior_perm_stderr,n_associations,n_possible
298,40,0.706696,0.000757466,0,1
298,39,0.694965,0.000766028,1,1
298,37,0.674822,0.000779369,1,1
298,35,0.65146,0.000792791,0,1
298,34,0.639729,0.000798732,1,1
298,33,0.628845,0.000803781,0,1
298,31,0.602833,0.000814092,0,1
298,30,0.590986,0.000817986,1,1
298,28,0.56175,0.000825507,1,1
298,27,0.547141,0.000413014,2,4
298,26,0.532396,0.000338964,3,6
298,25,0.5167,0.000831411,1,1
298,24,0.501516,0.000371293,4,5
298,22,0.468213,0.000478947,1,3
298,21,0.451288,0.000312312,4,7
298,20,0.433251,0.000411754,3,4
298,19,0.415791,0.000288726,4,8
298,18,0.397009,0.000814036,0,1
298,17,0.37807,0.000464886,1,3
298,16,0.358926,0.000264957,3,9
298,15,0.339577,0.000261671,2,9
298,14,0.318932,0.000273726,5,8
298,13,0.298361,0.000173594,4,19
298,12,0.277729,0.000185387,4,16
298,11,0.25628,0.000150347,7,23
298,10,0.234205,0.000134524,6,27
298,9,0.212022,0.000124903,5,29
298,8,0.189376,9.9273e-05,7,42
298,7,0.166621,6.84198e-05,14,79
298,6,0.143458,5.67036e-05,15,101
298,5,0.120012,4.40939e-05,20,142
298,4,0.0963425,3.01472e-05,21,243
298,3,0.0725304,1.9414e-05,30,439
298,2,0.0484521,9.98331e-06,55,1039
298,1,0.0242769,3.87554e-06,71,3114
275,47,0.752981,0.000717539,1,1
275,46,0.743517,0.000726546,1,1
275,40,0.686952,0.000771537,1,1
275,39,0.675633,0.000778864,1,1
275,37,0.654447,0.000791194,0,1
275,35,0.631034,0.000802801,0,1
275,34,0.619763,0.000807659,1,1
275,33,0.607359,0.000812473,1,1
275,31,0.580061,0.000821142,0,1
275,30,0.566771,0.000824424,0,1
275,28,0.537607,0.000829519,1,1
275,27,0.524796,0.000414991,1,4
275,26,0.509751,0.000338604,3,6
275,25,0.494024,0.000831816,1,1
275,24,0.47803,0.00037115,2,5
275,22,0.445305,0.000476053,1,3
275,21,0.428839,0.000311084,2,7
275,20,0.411626,0.000408261,3,4
275,19,0.393565,0.000286378,3,8
275,18,0.374255,0.000805139,0,1
275,17,0.356921,0.000459948,3,3
275,16,0.338367,0.000261714,5,9
275,15,0.318755,0.000256967,3,9
275,14,0.299048,0.000268224,3,8
275,13,0.279066,0.00017003,6,19
275,12,0.259082,0.000180735,5,16
275,11,0.238748,0.000146302,6,23
275,10,0.218171,0.000130923,5,27
275,9,0.196824,0.00012144,5,29
275,8,0.175648,9.66171e-05,8,42
275,7,0.15417,6.59732e-05,14,79
275,6,0.13242,5.47262e-05,9,101
275,5,0.1106,4.24661e-05,18,142
275,4,0.088577,2.90807e-05,16,243
275,3,0.0665454,1.86275e-05,24,439
275,2,0.0443409,9.58916e-06,49,1039
275,1,0.0221697,3.71832e-06,73,3114
267,47,0.746008,0.000724219,1,1
267,46,0.737948,0.000731636,1,1
267,40,0.67942,0.000776472,0,1
267,39,0.668702,0.000783094,1,1
267,37,0.648279,0.000794453,1,1
267,35,0.624225,0.000805792,1,1
267,34,0.612051,0.000810717,0,1
267,33,0.599553,0.000815219,1,1
267,31,0.573298,0.000822888,1,1
267,30,0.559104,0.000826043,0,1
267,28,0.532547,0.000830111,1,1
267,27,0.515714,0.000414794,4,4
267,26,0.500635,0.000338467,5,6
267,25,0.484682,0.000831485,1,1
267,24,0.469457,0.00037092,3,5
267,22,0.437246,0.000476069,2,3
267,21,0.420298,0.000308907,4,7
267,20,0.403862,0.000407356,0,4
267,19,0.385286,0.000285232,2,8
267,18,0.367501,0.000802135,0,1
267,17,0.349222,0.000457202,2,3
267,16,0.330306,0.000259386,3,9
267,15,0.31135,0.00025528,3,9
267,14,0.291873,0.000266789,1,8
267,13,0.272659,0.000168664,2,19
267,12,0.252719,0.000179869,5,16
267,11,0.232835,0.000145512,4,23
267,10,0.212428,0.000129815,7,27
267,9,0.191603,0.00012049,5,29
267,8,0.1708,9.53652e-05,8,42
267,7,0.149808,6.53548e-05,17,79
267,6,0.128508,5.41403e-05,12,101
267,5,0.107263,4.19397e-05,12,142
267,4,0.0858939,2.86629e-05,23,243
267,3,0.0644174,1.83576e-05,26,439
267,2,0.0429405,9.47329e-06,37,1039
267,1,0.0214472,3.67117e-06,71,3114
262,47,0.742083,0.000727871,1,1
262,46,0.733807,0.000735322,0,1
262,40,0.674847,0.000779354,0,1
262,39,0.663551,0.000786113,0,1
262,37,0.641024,0.000798101,1,1
262,35,0.619486,0.000807773,1,1
262,34,0.605123,0.000813282,0,1
262,33,0.593356,0.000817247,0,1
262,31,0.56751,0.000824258,1,1
262,30,0.552654,0.00082725,1,1
262,28,0.525768,0.00083077,0,1
262,27,0.51029,0.000414916,2,4
262,26,0.495196,0.000338982,2,6
262,25,0.480687,0.000831255,1,1
262,24,0.465029,0.000369994,3,5
262,22,0.431551,0.00047504,1,3
262,21,0.415371,0.000309083,2,7
262,20,0.397553,0.000406554,1,4
262,19,0.380972,0.000284652,3,8
262,18,0.362021,0.000799573,1,1
262,17,0.344025,0.000455892,1,3
262,16,0.325161,0.000258813,4,9
262,15,0.307017,0.000255572,3,9
262,14,0.287561,0.00026542,2,8
262,13,0.268201,0.000167883,1,19
262,12,0.24874,0.000178961,4,16
262,11,0.228794,0.000144493,7,23
262,10,0.208639,0.000128957,6,27
262,9,0.188308,0.000119633,4,29
262,8,0.16771,9.4719e-05,8,42
262,7,0.147223,6.48394e-05,11,79
262,6,0.126195,5.35609e-05,10,101
262,5,0.105259,4.16258e-05,7,142
262,4,0.0842096,2.84122e-05,23,243
262,3,0.0631307,1.81771e-05,32,439
262,2,0.0420501,9.36978e-06,42,1039
262,1,0.0209929,3.63673e-06,76,3114
253,47,0.734244,0.000734937,1,1
253,46,0.724614,0.000743212,1,1
253,40,0.665616,0.000784916,0,1
253,39,0.655723,0.000790501,1,1
253,37,0.632355,0.000802201,0,1
253,35,0.607808,0.000812308,0,1
253,34,0.596575,0.000816211,1,1
253,33,0.58408,0.000820029,1,1
253,31,0.558054,0.000826249,0,1
253,30,0.54479,0.000828531,0,1
253,28,0.516794,0.000831406,0,1
253,27,0.500736,0.000415455,4,4
253,26,0.486638,0.000338438,3,6
253,25,0.469867,0.000830363,0,1
253,24,0.455136,0.000369644,2,5
253,22,0.422331,0.000473163,1,3
253,21,0.405101,0.000308135,3,7
253,20,0.387791,0.00040502,0,4
253,19,0.371463,0.000283208,1,8
253,18,0.352139,0.000794669,0,1
253,17,0.334568,0.000453049,1,3
253,16,0.316783,0.00025695,2,9
253,15,0.298636,0.000252779,3,9
253,14,0.279845,0.000262978,2,8
253,13,0.260679,0.000166419,6,19
253,12,0.241397,0.000176804,5,16
253,11,0.221588,0.000142772,3,23
253,10,0.202088,0.000127359,10,27
253,9,0.182198,0.00011817,7,29
253,8,0.162376,9.36186e-05,5,42
253,7,0.142085,6.39485e-05,7,79
253,6,0.121859,5.27304e-05,12,101
253,5,0.101499,4.08619e-05,15,142
253,4,0.0811641,2.79075e-05,18,243
